original_edge_id	gene_id	event_type	reference_factor	original_association_status	original_level_factor_soft_flag	prespecified_seed_count	completed_converged_seed_count	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	drop_both_retention_decision	meets_T3_T4_retention_criteria	gene_name	interpretation_role	original_effect	original_q_value	baseline_direction_retention_rate	drop_mutation_match_rate	drop_mutation_direction_retention_rate	drop_cnv_match_rate	drop_cnv_direction_retention_rate	gene_feature_drop_scenario	gene_feature_drop_prespecified	gene_feature_drop_no_op	scheduled_gene_feature_drop_no_op	gene_feature_drop_match_rate	gene_feature_drop_direction_retention_rate	post_audit_maximum_status	exact_independent_validation	p_q_scope
TCGA_DRIVER_STATE_0021	ENSG00000185920.16	amplification	Factor6	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	0.53030303030303	0.254622778770024	1	1	1	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0023	ENSG00000185920.16	amplification	Factor7	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	0.59469696969697	0.247906613381428	1	1	1	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0024	ENSG00000185920.16	amplification	Factor8	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	0.507575757575758	0.254622778770024	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0017	ENSG00000185920.16	mutation	Factor1	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	0.500821018062397	0.173841101375178	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0018	ENSG00000185920.16	relative_cnv	Factor2	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	-0.261558945241627	0.16303172875576	1	1	1	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0019	ENSG00000185920.16	relative_cnv	Factor3	directional_exploratory	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PTCH1	other_strong_driver	0.201646363246005	0.289705020235148	1	0.666666666666667	0.666666666666667	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			directional_exploratory	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0022	ENSG00000185920.16	relative_cnv	Factor7	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	PTCH1	other_strong_driver	0.391559241097994	0.00456908290421296	1	1	1	1	1	drop_gene_event_features_PTCH1	FALSE		FALSE			within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0068	ENSG00000127616.19	mutation	Factor1	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	SMARCA4	other_strong_driver	-0.947454844006568	0.0012087269522841	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_SMARCA4	FALSE		FALSE			within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0069	ENSG00000127616.19	mutation	Factor2	directional_exploratory	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	SMARCA4	other_strong_driver	0.382594417077176	0.383822420524153	1	1	1	1	1	drop_gene_event_features_SMARCA4	FALSE		FALSE			directional_exploratory	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0070	ENSG00000127616.19	mutation	Factor4	directional_exploratory_level_factor_qc	TRUE	3	3	1	1	1	1	0	level_factor_qc_not_primary	FALSE	SMARCA4	other_strong_driver	0.520525451559934	0.167683937944865	1	1	1	0.333333333333333	0.333333333333333	drop_gene_event_features_SMARCA4	FALSE		FALSE			directional_exploratory_level_factor_qc	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0071	ENSG00000127616.19	mutation	Factor5	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	SMARCA4	other_strong_driver	0.586206896551724	0.124332748577683	1	1	1	1	1	drop_gene_event_features_SMARCA4	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0072	ENSG00000127616.19	mutation	Factor7	directional_exploratory	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	SMARCA4	other_strong_driver	0.428571428571429	0.293626613478419	1	1	1	1	1	drop_gene_event_features_SMARCA4	FALSE		FALSE			directional_exploratory	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0073	ENSG00000127616.19	mutation	Factor8	within_tcga_supported	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	SMARCA4	other_strong_driver	-0.635467980295567	0.0783807307999041	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_SMARCA4	FALSE		FALSE			supported_not_retained_for_T3_T4	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0058	ENSG00000141510.18	mutation	Factor1	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	TP53	other_strong_driver	0.619047619047619	0.026309573152747	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_TP53	FALSE		FALSE			within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0060	ENSG00000141510.18	mutation	Factor5	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	TP53	other_strong_driver	-0.476190476190476	0.129852383590817	1	1	1	1	1	drop_gene_event_features_TP53	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0061	ENSG00000141510.18	mutation	Factor6	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	TP53	other_strong_driver	0.419047619047619	0.173841101375178	1	1	1	1	1	drop_gene_event_features_TP53	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0059	ENSG00000141510.18	relative_cnv	Factor4	directional_exploratory_level_factor_qc	TRUE	3	3	1	1	1	1	0	level_factor_qc_not_primary	FALSE	TP53	other_strong_driver	0.208790276539727	0.283940830828338	1	1	1	0.333333333333333	0.333333333333333	drop_gene_event_features_TP53	FALSE		FALSE			directional_exploratory_level_factor_qc	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0062	ENSG00000141510.18	relative_cnv	Factor6	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	TP53	other_strong_driver	0.206282214398735	0.283940830828338	1	1	1	1	1	drop_gene_event_features_TP53	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
