gene_id	original_edge_id	gene_name	interpretation_role	event_type	reference_factor	original_effect	original_q_value	original_association_status	original_level_factor_soft_flag	scenario_id	scenario_class	scenario_target_gene_id	scenario_target_gene_name	prespecified_seed_count	informative_model_count	completed_converged_seed_count	reliable_factor_match_count	reliable_factor_match_rate	direction_retained_count	direction_retention_rate	magnitude_retained_count	magnitude_retention_rate	low_margin_count	median_aligned_effect	median_q_value	minimum_factor_match_abs_loading_correlation	median_factor_match_abs_loading_correlation	scenario_no_op	no_op_reason	retention_decision
ENSG00000116044.16	TCGA_DRIVER_STATE_0056	NFE2L2	known_positive_anchor	mutation	Factor7	0.642628205128205	0.00134293091253213	within_tcga_supported	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.663461538461539	0.00146765832133866	0.977033416772979	0.992314148022101	FALSE		retained_across_seeds_no_low_margin
ENSG00000116044.16	TCGA_DRIVER_STATE_0057	NFE2L2	known_positive_anchor	mutation	Factor8	0.346153846153846	0.173841101375178	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.346153846153846	0.173841101375178	0.991009230860003	0.99798752661386	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0057	NFE2L2	known_positive_anchor	mutation	Factor8	0.346153846153846	0.173841101375178	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.395833333333333	0.111668691524356	0.873642525676316	0.905448312409044	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0057	NFE2L2	known_positive_anchor	mutation	Factor8	0.346153846153846	0.173841101375178	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	1	0.333333333333333	0	0.0625	0.96716932395447	0.79820305758115	0.799998610829623	FALSE		direction_retained_effect_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0057	NFE2L2	known_positive_anchor	mutation	Factor8	0.346153846153846	0.173841101375178	within_tcga_conditional	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	0.330128205128205	0.203405017902548	0.990934414596133	0.99388265773955	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0057	NFE2L2	known_positive_anchor	mutation	Factor8	0.346153846153846	0.173841101375178	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	1	0.333333333333333	1	0.333333333333333	1	0.333333333333333	2	0.330128205128205	0.203405017902548	0.691002087714637	0.707054180616254	FALSE		factor_alignment_unstable
ENSG00000116044.16	TCGA_DRIVER_STATE_0054	NFE2L2	known_positive_anchor	relative_cnv	Factor2	-0.205135051839573	0.283940830828338	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.206135291321325	0.301771863672184	0.998924467226342	0.999928793988097	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0054	NFE2L2	known_positive_anchor	relative_cnv	Factor2	-0.205135051839573	0.283940830828338	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.197812986258312	0.287688486789799	0.998123108885465	0.998141320627606	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0054	NFE2L2	known_positive_anchor	relative_cnv	Factor2	-0.205135051839573	0.283940830828338	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.197727028177849	0.3357535148037	0.998128164107663	0.998401309625071	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0054	NFE2L2	known_positive_anchor	relative_cnv	Factor2	-0.205135051839573	0.283940830828338	within_tcga_conditional	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	-0.206135291321325	0.296667419424554	0.999621954788678	0.999783115653114	FALSE		direction_and_magnitude_retained_statistical_attenuation
