analysis_scope	association_role	is_primary_scope	n_patients	pathway	factor	reduced_model	full_model	factor_beta_standardized	factor_standard_error	factor_t_value	factor_coefficient_p_value	reduced_r_squared	full_r_squared	delta_r_squared	partial_r_squared	incremental_f	incremental_p_value	extension_calibration_pass	shared_rna_representation	independent_validation	factor_level_soft_flag	interpretation	incremental_q_value	factor_coefficient_q_value
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Androgen	Factor6	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.474822601240555	0.109853999602864	-4.32230599666012	4.01268642780018e-05	0.0316551035117241	0.199657952379528	0.168002848867804	0.173494846182461	18.682329128764	4.01268642780018e-05	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.000408564436285109	0.000408564436285109
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Trail	Factor4	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.324532278465745	0.0829263070811632	-3.9135021187922	0.000177671393120302	0.292941927282332	0.396751497376839	0.103809570094507	0.146819015438862	15.315498833791	0.000177671393120304	FALSE	TRUE	FALSE	TRUE	level-factor soft QC; technical/background only, not a biological ECMS axis	0.00144300476233196	0.00144300476233195
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Hypoxia	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.425350995040968	0.10887635402275	3.90673437642935	0.000181966618281755	0.182261915032521	0.301967262773352	0.11970534774083	0.146385927158561	15.2625734879748	0.000181966618281757	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00144300476233196	0.00144300476233195
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	EGFR	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.345420250198816	0.0887069206029682	3.89394928660457	0.000190353164295138	0.282764000863075	0.387171055610907	0.104407054747832	0.145568620194007	15.1628410466482	0.000190353164295141	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00144300476233196	0.00144300476233195
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	TNFa	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.438086066546823	0.11262883681679	3.88964388631167	0.000193259566383743	0.126041287048956	0.253021931673055	0.126980644624099	0.145293642299567	15.1293295623217	0.000193259566383745	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00144300476233196	0.00144300476233195
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	TGFb	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.331768437462546	0.086997982985663	-3.81351872855742	0.000252210766059346	0.31423857282974	0.410555892995098	0.0963173201653581	0.140453102710667	14.5429250930582	0.000252210766059348	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00176547536241544	0.00176547536241542
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Androgen	Factor5	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.383270923764453	0.103842821574967	-3.69087547845336	0.000384645563489773	0.0316551035117241	0.160197384688564	0.12854228117684	0.132744316248272	13.6225617974483	0.000384645563489766	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00253413547710905	0.00253413547710909
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	NFkB	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.400635286480796	0.115857057711658	3.45801364538263	0.000836812033202961	0.103389613079198	0.209587785210412	0.106198172131214	0.118444057397022	11.9578583716524	0.000836812033202956	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0052068304288184	0.00520683042881843
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Trail	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.336456999946109	0.1036116898018	-3.24728802888672	0.00164363273088456	0.292941927282332	0.367841231401827	0.0748993041194956	0.105930908661591	10.544879542551	0.00164363273088455	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.00968878241363526	0.00968878241363531
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	VEGF	Factor4	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.278408031048757	0.0864069098520961	3.2220574896766	0.00177868326386043	0.268650843360739	0.345049392766438	0.0763985494056996	0.104462483770092	10.381654466781	0.00177868326386045	FALSE	TRUE	FALSE	TRUE	level-factor soft QC; technical/background only, not a biological ECMS axis	0.00996062627761854	0.0099606262776184
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	JAK-STAT	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.317748866797895	0.101646735994478	-3.12601151123196	0.00239347972950003	0.0806585259961662	0.171613065558293	0.0909545395621265	0.0989344461596075	9.77194796835479	0.00239347972949997	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0127652252239998	0.0127652252240001
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	VEGF	Factor7	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.267726660893854	0.0872537404949638	3.06836886734165	0.00285210585244461	0.268650843360739	0.338615563251254	0.0699647198905156	0.0956652773239277	9.41488750607148	0.00285210585244458	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.013953129447382	0.0139531294473818
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	Hypoxia	Factor6	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.323862516602804	0.105601616113235	-3.06683295694577	0.00286537479723019	0.182261915032521	0.260420241738108	0.078158326705587	0.0955786799494551	9.40546438580868	0.00286537479723023	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.013953129447382	0.0139531294473818
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	JAK-STAT	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.349691478098611	0.119324633545055	2.93058916427827	0.00429837916606028	0.0806585259961662	0.161566018925574	0.0809074929294078	0.0880059207783227	8.58835284978527	0.0042983791660601	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0200591027749471	0.020059102774948
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	TGFb	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.254189340293098	0.0884713614214792	-2.8731256782874	0.00508131229128231	0.31423857282974	0.372445011347407	0.0582064385176679	0.084878554277764	8.25485116323448	0.00508131229128226	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0227642790649445	0.0227642790649448
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	NFkB	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.285455704861867	0.101328252950926	-2.81713832567621	0.00596825806663085	0.103389613079198	0.176795993929456	0.0734063808502577	0.0818709909243353	7.93626834599379	0.00596825806663084	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0257094193639482	0.0257094193639483
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	TNFa	Factor2	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	-0.274941861739646	0.100255140753609	-2.74242158230424	0.00737301731253562	0.126041287048956	0.194139873494509	0.0680985864455529	0.0779196836605799	7.52087613508807	0.0073730173125357	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0305843681112592	0.0305843681112589
hybrid_94_extension	conditional_sensitivity_only	FALSE	94	PI3K	Factor3	standardized_PROGENy ~ ECMS	standardized_PROGENy ~ ECMS + standardized_MOFA_factor	0.322933652663928	0.119150526073563	2.71029984764439	0.00806486647869907	0.0950115738121438	0.164010964576788	0.0689993907646442	0.0762433957915848	7.34572526414122	0.00806486647869906	FALSE	TRUE	FALSE	FALSE	incremental same-TCGA association after categorical ECMS adjustment; not causal	0.0322594659147962	0.0322594659147963
