evidence_id	candidate_id	candidate_label	candidate_type	evidence_type	omics_layer	dataset	analysis_unit	independence_group	effect_measure	effect_value	p_value	q_value	direction	discordance_code	layer_availability	independent_from_discovery	eligible_as_exact_replication	evidence_tier	auxiliary_score_100	cross_dataset_patient_link_allowed
EVIDENCE_001272	GENE:EP300	EP300	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.239551942647706	0.0200487248923372	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001273	GENE:EP300	EP300	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.204620041618657	0.04789420453942	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001274	GENE:FBXW7	FBXW7	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.243303789235754	0.0181285799340948	0.193371519297011	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001277	GENE:GNAS	GNAS	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.693181818181818	0.00476114523752053	0.133312066650575	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001278	GENE:GNAS	GNAS	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.583333333333333	0.0175862562505873	0.164138391672148	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001279	GENE:GNAS	GNAS	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.225737281324169	0.0286957588586433	0.275479285042975	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001280	GENE:GNAS	GNAS	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.515151515151515	0.0360993717876303	0.288794974301043	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001275	GENE:GNAS	GNAS	cross_layer_axis	Cao2020_RNA_protein	transcriptome->proteome	Cao2020_GSE149609_proteome_supplement	Cao 2020 RNA and proteome patient mapping; missing protein is not negative	Cao2020_same_patient_cross_layer	same-patient Spearman rho	-0.464285714285714	0.293934107600252		negative	support	evaluable	TRUE	FALSE	T2	55	FALSE
EVIDENCE_001276	GENE:GNAS	GNAS	cross_layer_axis	Cao2020_promoter_RNA	epigenome_WGBS->transcriptome	Cao2020_GSE149608_GSE149609	Cao 2020; WGBS 9 pairs and RNA 10 pairs; overlapping patients only for correlation	Cao2020_same_patient_cross_layer	same-patient Spearman rho	-0.25	0.516489552301226		negative	support	evaluable	TRUE	FALSE	T2	55	FALSE
EVIDENCE_001281	GENE:KMT2D	KMT2D	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.275430665835518	0.00721294093890031	0.138488466026886	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001282	GENE:KMT2D	KMT2D	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.362179487179487	0.0232894358256757	0.167683937944865	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001283	GENE:KMT2D	KMT2D	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.455128205128205	0.00434226043201555	0.27356240721698	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001284	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.346153846153846	0.0301550691802388	0.173841101375178	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001285	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	-0.419607843137255	0.0397848091828163	0.254622778770024	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001286	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.205135051839573	0.047323471804723	0.283940830828338	negative	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001287	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.221306879127476	0.0320652206196652	0.279841925407987	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001288	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.215133292356625	0.0373117827081742	0.283940830828338	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001289	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.218857043107297	0.0340675490807947	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
EVIDENCE_001290	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->RNA_derived_pathway_activity	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.208786332575116	0.043436436046267	0.835048779262326	positive	same_direction_nonsignificant	evaluable	FALSE	FALSE	T2	55	FALSE
