edge_id	axis_candidate_id	source_node	source_layer	target_node	target_layer	edge_class	source_effect_measure	source_effect	target_effect_measure	target_effect	association_effect_measure	association_effect	p_value	q_value	n_complete	sample_design	evidence_source	independence_group	same_patient_evidence	independent_from_tcga_discovery	eligible_as_exact_driver_replication	representation_overlap	original_state_edge_id	meets_T3_T4_retention_criteria	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	discordance_code	evidence_tier	layer_availability
ESCC_AXIS_00094	GENE:GNAS	GNAS:amplification	genome_CNV	p53	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.693181818181818	0.00476114523752053	0.133312066650575		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0043							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00098	GENE:GNAS	GNAS:amplification	genome_CNV	Estrogen	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.583333333333333	0.0175862562505873	0.164138391672148		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0042							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00062	GENE:GNAS	GNAS:relative_cnv	genome_CNV	Factor7	multiomics_state	TCGA_driver_state_internal					Spearman rho	-0.225737281324169	0.0286957588586433	0.275479285042975		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0041	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00103	GENE:GNAS	GNAS:amplification	genome_CNV	WNT	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.515151515151515	0.0360993717876303	0.288794974301043		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0044							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00048	GENE:KMT2D	KMT2D:relative_cnv	genome_CNV	Factor2	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.275430665835518	0.00721294093890031	0.138488466026886		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0001	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00052	GENE:KMT2D	KMT2D:mutation	genome_mutation	Factor5	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.362179487179487	0.0232894358256757	0.167683937944865		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0003	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00100	GENE:KMT2D	KMT2D:mutation	genome_mutation	Trail	RNA_derived_pathway_activity	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.455128205128205	0.00434226043201555	0.27356240721698		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	same_patient_rna_derived_target	TCGA_DRIVER_STATE_0006							same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00054	GENE:NFE2L2	NFE2L2:mutation	genome_mutation	Factor8	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.346153846153846	0.0301550691802388	0.173841101375178		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0057	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00061	GENE:NFE2L2	NFE2L2:amplification	genome_CNV	Factor2	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	-0.419607843137255	0.0397848091828163	0.254622778770024		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0055	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
ESCC_AXIS_00067	GENE:NFE2L2	NFE2L2:relative_cnv	genome_CNV	Factor2	multiomics_state	TCGA_driver_state_internal					Spearman rho	-0.205135051839573	0.047323471804723	0.283940830828338		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0054	FALSE	1	1	1	1	0	same_direction_nonsignificant	T2	evaluable
