tcga_gene_id	paper_patient_id	tcga_gene_name	normal_tpm	tumor_tpm	rna_delta_log2_tpm_pc01	rna_delta_log2_tpm_pc1	median_delta_beta_gene_body	median_delta_beta_promoter	n_common_cpg_gene_body	n_common_cpg_promoter	protein_log2_tumor_vs_normal	protein_identified_batches	protein_quantified_batches	protein_patient_measurement_status
ENSG00000109670.16	P11	FBXW7	22.66	26.33	0.215675867334988	0.208035386183418	-0.0497070000000001	0	623	4				
ENSG00000109670.16	P12	FBXW7	15.98	12.36	-0.367963338154927	-0.345916451078987	0	0	623	4				
ENSG00000109670.16	P13	FBXW7	16.54	15.15	-0.125846190803481	-0.119114582863446	-0.0343140000000001	0	623	4				
ENSG00000109670.16	P15	FBXW7	15.53	23.77	0.610880788082112	0.58350714395405								
ENSG00000109670.16	P2	FBXW7	16.72	14.24	-0.230132681553239	-0.217515701061696	0	0	623	4				
ENSG00000109670.16	P6	FBXW7	29.66	12.5	-1.23995079272075	-1.18339828972058	-0.00263199999999998	0	623	4				
ENSG00000109670.16	P7	FBXW7	34	6.94	-2.27612440527424	-2.14014400957673	0	0	623	4				
ENSG00000109670.16	P8	FBXW7	15.77	14.54	-0.11638657455114	-0.109896185156636	0	0	623	4				
ENSG00000109670.16	P9	FBXW7	17.81	10.81	-0.715114235662354	-0.671490884126038	0	0.0714285	623	4				
ENSG00000121879.6	P1	PIK3CA	8.21	42.29	2.35080358428475	2.23276073912102	0	0	508	40				
ENSG00000121879.6	P11	PIK3CA	13.77	30.6	1.14627086793394	1.09725473229968	-0.045455	0	508	40		1	0	identified_not_quantified
ENSG00000121879.6	P12	PIK3CA	7.19	24.76	1.76983557672555	1.65319723647361	-0.0158585	0	508	40				
ENSG00000121879.6	P13	PIK3CA	9.27	10.17	0.132315228659008	0.12119300416512	-0.087923	0	508	40				
ENSG00000121879.6	P15	PIK3CA	9.97	17.39	0.796466605914868	0.745357954008745								
ENSG00000121879.6	P2	PIK3CA	9.65	22.97	1.24254388004601	1.17037647853593	0	0	508	40				
ENSG00000121879.6	P6	PIK3CA	16.65	10.17	-0.705724913914302	-0.660038997675228	0	0	508	40				
ENSG00000121879.6	P7	PIK3CA	22.38	4.48	-2.29522253212398	-2.09302713157113	-0.0249635	0	508	40		1	0	identified_not_quantified
ENSG00000121879.6	P8	PIK3CA	10.09	24.52	1.27267671031864	1.20236896360316	0	0	508	40		1	0	identified_not_quantified
ENSG00000121879.6	P9	PIK3CA	12.77	19.03	0.571824820125411	0.540633861677744	0	0	508	40		1	0	identified_not_quantified
ENSG00000116044.16	P1	NFE2L2	216.25	717.35	1.72951117128557	1.72533075925539	-0.0119045	0	1058	58				
ENSG00000116044.16	P11	NFE2L2	162.68	461.35	1.50325088096146	1.49810733844646	-0.15301	0	1058	58				
ENSG00000116044.16	P12	NFE2L2	263.1	106.4	-1.30530605862204	-1.29809030818168	0	0	1058	58				
ENSG00000116044.16	P13	NFE2L2	227.57	166.97	-0.446491502085074	-0.444432475185513	-0.0668265	0	1058	58				
ENSG00000116044.16	P15	NFE2L2	238.83	122.71	-0.960159970415676	-0.955050010608942								
ENSG00000116044.16	P2	NFE2L2	196.73	174.85	-0.170007462363194	-0.169186441352919	0	0	1058	58				
ENSG00000116044.16	P6	NFE2L2	271.74	114.85	-1.24175129157868	-1.23526825696618	0	0	1058	58				
ENSG00000116044.16	P7	NFE2L2	321.8	274.44	-0.229596214115288	-0.228902492595227	-0.133333	0	1058	58				
ENSG00000116044.16	P8	NFE2L2	187.59	309.23	0.720794971893557	0.718085026240216	-0.0142640000000001	0	1058	58				
ENSG00000116044.16	P9	NFE2L2	193.41	144.28	-0.422537213198276	-0.420266322001395	0	0	1058	58				
ENSG00000141510.18	P1	TP53	20.04	79.08	1.97507238402331	1.92830726954369	0	0	300	50				
ENSG00000141510.18	P11	TP53	24.09	47.7	0.982599848888186	0.956809301560532	-0.054701	0	300	50				
ENSG00000141510.18	P12	TP53	16	13.64	-0.22867868418388	-0.215619192741021	0	0	300	50				
ENSG00000141510.18	P13	TP53	24.98	14.44	-0.786510078882445	-0.7507286781798	-0.0571895	0	300	50				
ENSG00000141510.18	P15	TP53	22.66	27.92	0.299956398124237	0.289617478611329								
ENSG00000141510.18	P2	TP53	23.28	43.23	0.890091306740212	0.865256820642972	0	0	300	50				
ENSG00000141510.18	P6	TP53	26.34	27.78	0.0765083843607313	0.0740533491342372	0	0	300	50				
ENSG00000141510.18	P7	TP53	26.43	7.84	-1.74041376308574	-1.63363634745685	-0.071429	0	300	50				
ENSG00000141510.18	P8	TP53	18.19	24.86	0.448562859113531	0.430367563614874	0	0	300	50				
ENSG00000141510.18	P9	TP53	27.98	41.47	0.565999812319811	0.551386513790472	0	0	300	50				
ENSG00000127616.19	P1	SMARCA4	26.62	54.26	1.02462544829334	1.00052224255444	0	0	1533	34				
ENSG00000127616.19	P11	SMARCA4	25.75	26.53	0.0428881480083172	0.0414657184196887	-0.012821	0	1533	34				
ENSG00000127616.19	P12	SMARCA4	30.74	26.34	-0.222080588407342	-0.215288885229121	0	0.022059	1533	34				
ENSG00000127616.19	P13	SMARCA4	26.78	51.17	0.931581759618536	0.90917383404635	-0.029914	0	1533	34				
ENSG00000127616.19	P15	SMARCA4	33.12	29.71	-0.156255697971207	-0.151909134342415								
ENSG00000127616.19	P2	SMARCA4	39.1	54.76	0.484900967845707	0.475628324526141	0	-0.0678735	1533	34				
ENSG00000127616.19	P6	SMARCA4	49.64	24.86	-0.994788573354659	-0.969555129618087	0	0	1533	34				
ENSG00000127616.19	P7	SMARCA4	48.27	40.35	-0.257972835128522	-0.252822142253547	-0.00784300000000002	-0.0408335	1533	34				
ENSG00000127616.19	P8	SMARCA4	25.78	35.19	0.447421812787216	0.434435147048228	0	-0.0669645	1533	34				
ENSG00000127616.19	P9	SMARCA4	32.54	34.76	0.0949315121541892	0.0924640476189715	0	-0.0357145	1533	34				
