candidate_id	gene_id	gene_name	gene_type	decision	primary_candidate_route	mutated_patients	mutation_frequency_96	high_confidence_mutation_pattern	recurrent_mutation	amplification_frequency	homozygous_deletion_frequency	recurrent_cnv_class	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	dosage_evidence	discordance_code	strong_dosage	conditional_dosage	precise_reverse_dosage	multi_event_convergence	source_evidence_unit_count	mutation_event_unit	cnv_expression_event_unit	distinct_event_unit_count	evidence_unit_count	state_edge_count	raw_state_supported_edges	state_supported_edges	state_conditional_edges	state_exploratory_edges	supported_factor_targets	leakage_not_retained_factor_targets	conditional_factor_targets	conditional_pathway_targets	strongest_state_edge	strongest_state_effect	strongest_state_q	strongest_state_raw_status	strongest_state_meets_retention_criteria	cao_profile_status	cao_cross_layer_class	cao_statistical_support	cao_available_layer_count	cao_fdr_supported_layer_count	cao_promoter_delta_beta	cao_rna_log_fc	cao_rna_effect_class	cao_protein_status	cao_protein_log2_tumor_vs_normal	cao_promoter_rna_relationship	cao_rna_protein_relationship	exact_driver_event_independent_validation_count	independent_orthogonal_calibration_count	quality_score_20	within_layer_score_20	cross_omics_score_25	validation_score_20	robustness_score_15	auxiliary_score_100	high_priority_validation_rule	integrated_tier	integrated_decision	cross_cohort_patient_link_created	exact_independent_validation_present
GENE:MAL2	ENSG00000147676.14	MAL2	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.28125	0	recurrent_amplification	0.418255514174803	2.46778480561763e-05	8.37923611910115e-05	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MAP11	ENSG00000146826.17	MAP11	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	1	0.0104166666666667	FALSE	FALSE	0.145833333333333	0	recurrent_amplification	0.458908316589764	2.9071645362365e-06	1.25960576182273e-05	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MAP3K13	ENSG00000073803.14	MAP3K13	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.479166666666667	0	recurrent_amplification	0.615571420369248	3.17064097759336e-11	5.34708362737221e-10	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MAP3K21	ENSG00000143674.11	MAP3K21	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.114583333333333	0	recurrent_amplification	0.402949604956696	5.15454256569048e-05	0.000162652174217683	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MAP6D1	ENSG00000180834.8	MAP6D1	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.5	0	recurrent_amplification	0.516597160018068	8.36465653656995e-08	5.49640280812332e-07	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MAPK15	ENSG00000181085.15	MAPK15	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.270833333333333	0	recurrent_amplification	0.341031639975411	0.000719744129891441	0.00173565222576217	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MARCHF6	ENSG00000145495.16	MARCHF6	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	2	0.0208333333333333	FALSE	FALSE	0.25	0	recurrent_amplification	0.783978732666327	5.7957906605924e-21	4.32365983280193e-18	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MBD4	ENSG00000129071.10	MBD4	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.197916666666667	0	recurrent_amplification	0.708571650900055	9.54763582614507e-16	7.56769484669824e-14	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MBLAC1	ENSG00000214309.5	MBLAC1	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	1	0.0104166666666667	FALSE	FALSE	0.145833333333333	0	recurrent_amplification	0.309709415801162	0.00225676826718179	0.00489403816080702	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MBNL1	ENSG00000152601.17	MBNL1	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	1	0.0104166666666667	FALSE	FALSE	0.4375	0	recurrent_amplification	0.573480355447001	1.24550625993815e-09	1.36403371230877e-08	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MBTPS2	ENSG00000012174.12	MBTPS2	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	2	0.0208333333333333	FALSE	FALSE	0.0208333333333333	0.510416666666667	recurrent_homozygous_deletion	0.340992559575135	0.000720825773942331	0.00173759978428752	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MCCC1	ENSG00000078070.13	MCCC1	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.5	0	recurrent_amplification	0.607902855393891	6.4431842828453e-11	1.00490023709744e-09	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MCM2	ENSG00000073111.14	MCM2	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.197916666666667	0	recurrent_amplification	0.531604372403722	2.97047558610973e-08	2.21337082156543e-07	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MCM4	ENSG00000104738.18	MCM4	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	1	0.0104166666666667	FALSE	FALSE	0.104166666666667	0	recurrent_amplification	0.500667851021097	2.38002034970991e-07	1.37322193243954e-06	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MCM7	ENSG00000166508.18	MCM7	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	0	0	FALSE	FALSE	0.145833333333333	0	recurrent_amplification	0.601610595490311	1.13684630652502e-10	1.66676125541622e-09	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
GENE:MECOM	ENSG00000085276.19	MECOM	protein_coding	conditional_candidate	cnv_dosage_conditional_pending_focality	3	0.03125	FALSE	FALSE	0.489583333333333	0	recurrent_amplification	0.385494489321906	0.00011440614319315	0.000334000623382949	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	0	1	1	1	0	0	0	0	0										not_profiled_current_strong_only	not_profiled_not_negative	not_profiled_not_negative						not_profiled_not_negative				0	0	14	11	0	0	0	25	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
