gene_id	gene_name	gene_type	expressed_filter	cnv_coverage_filter	cnv_variation_filter	test_eligible	n_patients	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	spearman_rho_absolute_cnv	p_absolute_cnv	q_absolute_cnv	direction_stable_between_cnv_scales	discordance_code	dosage_evidence
ENSG00000021645.20	NRXN3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.00680781253760258	0.947794471577507	0.959156501353552	0.112704886367492	0.276843252674182	0.37764075835366	FALSE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000021762.20	OSBPL5	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.399591530869081	6.02993716106098e-05	0.000187338714053345	0.260887140303831	0.0106635395057085	0.0265166682375283	TRUE	support	strong_positive_dosage
ENSG00000021776.11	AQR	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.490402062965728	4.54210159398852e-07	2.43050347742458e-06	0.278306481801139	0.00631692309599266	0.0172859823524902	TRUE	support	strong_positive_dosage
ENSG00000021826.17	CPS1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0621304247019669	0.549750489018701	0.620278977022702	0.0964832896526113	0.352305929954075	0.457265766418747	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000021852.13	C8B	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000022267.19	FHL1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	-0.087670263011026	0.398211231247809	0.47508135791954	-0.0652458314678284	0.529880211000534	0.629090136295523	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000022277.13	RTF2	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.448299085164264	5.21776355345579e-06	2.11546283199892e-05	0.264308468701524	0.0096462727108892	0.0244326004632508	TRUE	support	strong_positive_dosage
ENSG00000022355.18	GABRA1	protein_coding	FALSE	TRUE	TRUE	FALSE									not_comparable	
ENSG00000022556.16	NLRP2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000022567.10	SLC45A4	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.284835079764758	0.00514715077101944	0.0103007994442273	0.246253200879439	0.0161470884059384	0.0372051917085956	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000022840.16	RNF10	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000022976.15	ZNF839	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.52499723350013	4.71478325753396e-08	3.3083920313299e-07	0.385315661829732	0.000115318134344823	0.000656697161994183	TRUE	support	strong_positive_dosage
ENSG00000023041.11	ZDHHC6	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.444859630432463	6.28095208622991e-06	2.49077655902338e-05	0.184474350572411	0.0735144093435203	0.129505450659053	TRUE	support	strong_positive_dosage
ENSG00000023171.18	GRAMD1B	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0526447595767952	0.612381861845277	0.677740358837753	-0.0104796018801653	0.919714712626	0.943369620310817	FALSE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000023191.17	RNH1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.32380212001522	0.00136973687864434	0.00311364099210745	0.00634590468256275	0.951332117328464	0.966393510656825	TRUE	support	strong_positive_dosage
ENSG00000023228.14	NDUFS1	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000023287.13	RB1CC1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.545630353370622	1.07740958554231e-08	9.06682704966659e-08	0.407111414508361	4.23394803417343e-05	0.000293094590444255	TRUE	support	strong_positive_dosage
ENSG00000023318.8	ERP44	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.647739395604898	1.29871234015398e-12	3.41457711396345e-11	0.404552736109286	4.77981144353737e-05	0.000323293699877019	TRUE	support	strong_positive_dosage
ENSG00000023330.15	ALAS1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.32374240527009	0.00137270738484436	0.00311983423917495	0.198185294484117	0.05419907383506	0.101125887064327	TRUE	support	strong_positive_dosage
ENSG00000023445.16	BIRC3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0913070353314885	0.378854081619226	0.455760525810569	0.0592465681550435	0.568460100735081	0.662733130862502	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
