gene_id	gene_name	tcga_driver_tier	event_type	target_type	target	n_complete	n_event	n_reference	effect_measure	effect	p_value	mutation_evidence_unit	cnv_expression_evidence_unit	distinct_event_unit_count_recomputed	independence_group	independent_validation	analysis_eligible	q_value	level_factor_soft_flag	predictor_feature_selected_in_target_model	target_model_overlap_class	bootstrap_iterations	valid_bootstraps	effect_ci95_low	effect_ci95_high	bootstrap_direction_consistency	association_status	discordance_code	eligible_as_independent_validation
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	JAK-STAT	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	MAPK	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	NFkB	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	PI3K	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	TGFb	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	TNFa	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	Trail	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	VEGF	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	WNT	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	p53	94	0	94	rank-biserial correlation: event minus reference			TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	Androgen	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	EGFR	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	Estrogen	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	Hypoxia	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	JAK-STAT	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	MAPK	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	NFkB	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	PI3K	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	TGFb	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	homozygous_deletion	PROGENy_pathway	TNFa	94	0	94	rank-biserial correlation: event minus reference			TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	same_patient_rna_derived_target	500					insufficient_event_count_descriptive	not_comparable	FALSE
