tcga_gene_id	tcga_gene_name	gencode19_gene_name	paper_patient_id	region_type	n_common_cpg	median_normal_beta	median_tumor_beta	median_delta_beta	mean_delta_beta	delta_beta_iqr	fraction_cpg_higher_in_tumor	fraction_cpg_lower_in_tumor
ENSG00000087460.27	GNAS	GNAS	P7	promoter	57	0.571429	0.5	-0.138889	-0.112653631578947	0.2674	0.280701754385965	0.701754385964912
ENSG00000087460.27	GNAS	GNAS	P8	promoter	57	0.636364	0.461538	-0.139038	-0.129302561403509	0.194728	0.175438596491228	0.789473684210526
ENSG00000087460.27	GNAS	GNAS	P9	promoter	57	0.625	0.55	-0.0427630000000001	-0.0177994035087719	0.191667	0.333333333333333	0.578947368421053
ENSG00000109670.16	FBXW7	FBXW7	P1	gene_body	623	0.923077	0.923077	0	0.00928730337078651	0.1323625	0.451043338683788	0.388443017656501
ENSG00000109670.16	FBXW7	FBXW7	P11	gene_body	623	0.928571	0.882353	-0.0497070000000001	-0.0787012969502408	0.1901085	0.293739967897271	0.593900481540931
ENSG00000109670.16	FBXW7	FBXW7	P12	gene_body	623	0.928571	0.923077	0	0.0144171508828251	0.145715	0.43338683788122	0.418940609951846
ENSG00000109670.16	FBXW7	FBXW7	P13	gene_body	623	0.933333	0.875	-0.0343140000000001	-0.0658181284109149	0.15	0.248796147672552	0.547351524879615
ENSG00000109670.16	FBXW7	FBXW7	P2	gene_body	623	0.923077	0.928571	0	-0.0124022520064206	0.129167	0.401284109149278	0.42215088282504
ENSG00000109670.16	FBXW7	FBXW7	P6	gene_body	623	0.923077	0.9	-0.00263199999999998	-0.0177763483146067	0.1464645	0.382022471910112	0.500802568218299
ENSG00000109670.16	FBXW7	FBXW7	P7	gene_body	623	0.923077	0.904762	0	-0.028085327447833	0.19132	0.417335473515249	0.42215088282504
ENSG00000109670.16	FBXW7	FBXW7	P8	gene_body	623	0.916667	0.923077	0	-0.00902300642054575	0.138586	0.459069020866774	0.425361155698234
ENSG00000109670.16	FBXW7	FBXW7	P9	gene_body	623	0.925926	0.933333	0	0.00220885874799358	0.1380955	0.393258426966292	0.346709470304976
ENSG00000109670.16	FBXW7	FBXW7	P1	promoter	4	0	0	0	-0.02272725	0.02272725	0	0.25
ENSG00000109670.16	FBXW7	FBXW7	P11	promoter	4	0	0	0	-0.03125	0.03125	0	0.25
ENSG00000109670.16	FBXW7	FBXW7	P12	promoter	4	0	0	0	0	0	0	0
ENSG00000109670.16	FBXW7	FBXW7	P13	promoter	4	0	0	0	0	0	0	0
ENSG00000109670.16	FBXW7	FBXW7	P2	promoter	4	0	0	0	0	0	0	0
ENSG00000109670.16	FBXW7	FBXW7	P6	promoter	4	0	0	0	0	0	0	0
ENSG00000109670.16	FBXW7	FBXW7	P7	promoter	4	0	0	0	-0.025	0.025	0	0.25
ENSG00000109670.16	FBXW7	FBXW7	P8	promoter	4	0	0	0	0	0	0	0
ENSG00000109670.16	FBXW7	FBXW7	P9	promoter	4	0	0.0714285	0.0714285	0.077381	0.1488095	0.5	0
ENSG00000121879.6	PIK3CA	PIK3CA	P1	gene_body	508	0.944444	0.935827	0	-0.00529498228346458	0.09472	0.389763779527559	0.456692913385827
ENSG00000121879.6	PIK3CA	PIK3CA	P11	gene_body	508	0.941176	0.894737	-0.045455	-0.0621534862204724	0.11029425	0.244094488188976	0.651574803149606
ENSG00000121879.6	PIK3CA	PIK3CA	P12	gene_body	508	0.941176	0.916667	-0.0158585	-0.0272641102362205	0.114308	0.316929133858268	0.531496062992126
ENSG00000121879.6	PIK3CA	PIK3CA	P13	gene_body	508	0.947368	0.822479	-0.087923	-0.123485915354331	0.210526	0.167322834645669	0.692913385826772
ENSG00000121879.6	PIK3CA	PIK3CA	P2	gene_body	508	0.928571	0.9375	0	-0.00207367913385826	0.10659725	0.415354330708661	0.405511811023622
ENSG00000121879.6	PIK3CA	PIK3CA	P6	gene_body	508	0.941176	0.913043	0	-0.0236094035433071	0.1063065	0.320866141732283	0.468503937007874
ENSG00000121879.6	PIK3CA	PIK3CA	P7	gene_body	508	0.933333	0.912404	-0.0249635	-0.051610188976378	0.1107885	0.311023622047244	0.568897637795276
ENSG00000121879.6	PIK3CA	PIK3CA	P8	gene_body	508	0.9245015	0.928571	0	-0.00136511614173228	0.105556	0.421259842519685	0.421259842519685
ENSG00000121879.6	PIK3CA	PIK3CA	P9	gene_body	508	0.9375	0.9375	0	-0.0163340925196851	0.101648	0.348425196850394	0.433070866141732
ENSG00000121879.6	PIK3CA	PIK3CA	P1	promoter	40	0	0	0	-0.031057125	0.0348772500000001	0.125	0.35
ENSG00000121879.6	PIK3CA	PIK3CA	P11	promoter	40	0	0.029514	0	-0.057615	0.13925325	0.275	0.375
ENSG00000121879.6	PIK3CA	PIK3CA	P12	promoter	40	0	0	0	-0.01043125	0.0135025	0.225	0.275
ENSG00000121879.6	PIK3CA	PIK3CA	P13	promoter	40	0.0611115	0	0	-0.1063449	0.1239495	0.075	0.475
ENSG00000121879.6	PIK3CA	PIK3CA	P2	promoter	40	0	0	0	-0.08763205	0.14078275	0.075	0.45
ENSG00000121879.6	PIK3CA	PIK3CA	P6	promoter	40	0	0	0	-0.0237795	0.011102	0.125	0.275
ENSG00000121879.6	PIK3CA	PIK3CA	P7	promoter	40	0	0	0	-0.027581975	0.00112774999999999	0.175	0.25
ENSG00000121879.6	PIK3CA	PIK3CA	P8	promoter	40	0	0	0	-0.03744845	0.00469925	0.2	0.25
ENSG00000121879.6	PIK3CA	PIK3CA	P9	promoter	40	0	0	0	-0.001528775	0.00137350000000001	0.2	0.25
ENSG00000116044.16	NFE2L2	NFE2L2	P1	gene_body	1058	0.807692	0.7	-0.0119045	-0.0426479744801513	0.1453065	0.309073724007561	0.524574669187146
ENSG00000116044.16	NFE2L2	NFE2L2	P11	gene_body	1058	0.846154	0.444444	-0.15301	-0.218826366729679	0.428571	0.18241965973535	0.709829867674858
ENSG00000116044.16	NFE2L2	NFE2L2	P12	gene_body	1058	0.809524	0.823529	0	0.0334902967863894	0.18126275	0.458412098298677	0.387523629489603
ENSG00000116044.16	NFE2L2	NFE2L2	P13	gene_body	1058	0.818182	0.636364	-0.0668265	-0.103878398865784	0.21920025	0.214555765595463	0.632325141776938
ENSG00000116044.16	NFE2L2	NFE2L2	P2	gene_body	1058	0.809524	0.75	0	-0.0204294168241966	0.167237	0.346880907372401	0.47069943289225
