Hugo_Symbol	gene_id	nonsynonymous_variants	mutated_patients	likely_lof_variants	likely_lof_patients	hotspot_variants	max_observed_aa_position	variant_classes	callers	oncodrive_mutated_samples	oncodrive_clusters	oncodrive_cluster_score	oncodrive_mutations_in_clusters	oncodrive_fraction_in_clusters	oncodrive_p	oncodrive_fdr	mutation_frequency_96	recurrent_mutation
ZNF804B	ENSG00000182348.7	9	9	1	1	0	615	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.09375	TRUE
PCLO	ENSG00000186472.20	9	8	0	0	0	4340	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2	8	1	0.222222222222222	2	0.222222222222222	0.668854443028834	0.743171603365371	0.0833333333333333	TRUE
SYNE2	ENSG00000054654.19	9	8	0	0	0	6794	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0833333333333333	TRUE
FAT3	ENSG00000165323.15	8	8	2	2	0	3816	In_Frame_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;pindel;varscan2								0.0833333333333333	TRUE
HYDIN	ENSG00000157423.18	8	8	1	1	0	4998	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0833333333333333	TRUE
PKHD1L1	ENSG00000205038.12	10	7	0	0	0	4232	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
RYR2	ENSG00000198626.17	9	7	3	3	0	4851	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;pindel								0.0729166666666667	TRUE
CNTNAP5	ENSG00000155052.14	8	7	0	0	0	940	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
DST	ENSG00000151914.20	8	7	0	0	0	7368	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
MUC17	ENSG00000169876.14	8	7	0	0	0	4449	Missense_Mutation	muse;mutect2;varscan2								0.0729166666666667	TRUE
TRRAP	ENSG00000196367.14	8	7	0	0	0	3846	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
COL11A1	ENSG00000060718.22	7	7	2	2	0	1560	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;mutect2;pindel;varscan2								0.0729166666666667	TRUE
FMN2	ENSG00000155816.20	7	7	0	0	0	1622	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.0729166666666667	TRUE
KALRN	ENSG00000160145.15	7	7	0	0	0	2906	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
MACF1	ENSG00000127603.30	7	7	1	1	0	5888	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
PAPPA2	ENSG00000116183.11	7	7	0	0	0	1429	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
PTCH1	ENSG00000185920.16	7	7	7	7	0	1203	Frame_Shift_Del;Frame_Shift_Ins;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0729166666666667	TRUE
SACS	ENSG00000151835.16	7	7	0	0	0	2270	Missense_Mutation	muse;mutect2;varscan2								0.0729166666666667	TRUE
SMARCA4	ENSG00000127616.19	7	7	0	0	5	1445	Missense_Mutation	muse;mutect2;varscan2	7	1	0.285714285714286	2	0.285714285714286	0.479404445840641	0.684863494058058	0.0729166666666667	TRUE
SYNE1	ENSG00000131018.24	7	7	1	1	0	7171	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0729166666666667	TRUE
TGFBR2	ENSG00000163513.19	7	7	1	1	0	530	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0729166666666667	TRUE
APOB	ENSG00000084674.15	8	6	1	1	0	3982	In_Frame_Del;Missense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2;pindel;varscan2								0.0625	TRUE
UNC13C	ENSG00000137766.17	8	6	1	1	0	2023	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
CDH10	ENSG00000040731.10	7	6	0	0	0	733	Missense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0625	TRUE
MUC5B	ENSG00000117983.17	7	6	0	0	0	5693	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
ADGRV1	ENSG00000164199.18	6	6	0	0	0	5161	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
CEP290	ENSG00000198707.17	6	6	0	0	0	1708	Missense_Mutation	muse;mutect2;varscan2								0.0625	TRUE
DIDO1	ENSG00000101191.17	6	6	1	1	0	2189	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
DNAH8	ENSG00000124721.18	6	6	1	1	0	4171	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.0625	TRUE
FREM2	ENSG00000150893.11	6	6	0	0	0	2611	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
KMT2C	ENSG00000055609.19	6	6	1	1	0	3628	Missense_Mutation;Nonsense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0625	TRUE
KPNB1	ENSG00000108424.11	6	6	0	0	0	552	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2	6	1	0.833333333333333	5	0.833333333333333	1.00353621106386e-05	0.000100353621106386	0.0625	TRUE
LRP1B	ENSG00000168702.18	6	6	0	0	0	4212	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
MYH2	ENSG00000125414.19	6	6	2	2	0	1770	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
PCDHA7	ENSG00000204963.6	6	6	0	0	0	519	Missense_Mutation	muse;mutect2;varscan2								0.0625	TRUE
RUNX1T1	ENSG00000079102.16	6	6	0	0	0	604	Missense_Mutation;Splice_Region	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
SI	ENSG00000090402.8	6	6	0	0	0	1665	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
WDFY3	ENSG00000163625.16	6	6	1	1	0	3525	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0625	TRUE
FAT2	ENSG00000086570.12	8	5	2	2	0	3709	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;varscan2;pindel;varscan2	5	1	0.25	2	0.25	0.588262180728958	0.735327725911197	0.0520833333333333	TRUE
ASXL1	ENSG00000171456.20	6	5	2	2	1	1293	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
CDH11	ENSG00000140937.14	6	5	0	0	0	795	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0520833333333333	TRUE
KIF26B	ENSG00000162849.16	6	5	0	0	0	2093	In_Frame_Del;Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;pindel;varscan2*								0.0520833333333333	TRUE
KMT2A	ENSG00000118058.23	6	5	1	1	0	3932	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0520833333333333	TRUE
NSD1	ENSG00000165671.21	6	5	5	4	0	2120	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0520833333333333	TRUE
PLEC	ENSG00000178209.16	6	5	0	0	0	2619	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
REV3L	ENSG00000009413.16	6	5	0	0	0	2566	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
ADAM23	ENSG00000114948.13	5	5	3	3	0	781	Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
ARHGAP5	ENSG00000100852.13	5	5	0	0	0	1401	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2	5	1	0.4	2	0.4	0.175986474596249	0.439966186490622	0.0520833333333333	TRUE
ATP10D	ENSG00000145246.14	5	5	1	1	0	1258	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
CNTN6	ENSG00000134115.13	5	5	1	1	0	845	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0520833333333333	TRUE
COBLL1	ENSG00000082438.17	5	5	1	1	0	1126	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
DNAH3	ENSG00000158486.13	5	5	1	1	0	3616	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
DPP6	ENSG00000130226.17	5	5	0	0	0	829	Missense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
DYNC2H1	ENSG00000187240.16	5	5	0	0	0	3682	Missense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
ELAPOR2	ENSG00000164659.15	5	5	1	1	0	476	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
EP300	ENSG00000100393.14	5	5	2	2	2	1539	In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0520833333333333	TRUE
FIGN	ENSG00000182263.14	5	5	1	1	0	684	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
HDAC4	ENSG00000068024.17	5	5	0	0	0	1029	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
HMCN1	ENSG00000143341.12	5	5	1	1	0	5110	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
HTT	ENSG00000197386.12	5	5	1	1	0	1960	In_Frame_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0520833333333333	TRUE
KIAA1109	ENSG00000138688.15	5	5	1	1	0	4021	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0520833333333333	TRUE
KIF20B	ENSG00000138182.15	5	5	1	1	0	1720	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
LRFN5	ENSG00000165379.13	5	5	1	1	0	445	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
MRC1	ENSG00000260314.3	5	5	1	1	0	1217	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0520833333333333	TRUE
MYH13	ENSG00000006788.14	5	5	0	0	0	1920	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
NAV3	ENSG00000067798.16	5	5	1	1	0	1843	Missense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0520833333333333	TRUE
PCDH15	ENSG00000150275.19	5	5	0	0	0	1723	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
PLXND1	ENSG00000004399.13	5	5	1	1	0	1680	Missense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
PRKDC	ENSG00000253729.8	5	5	3	3	0	3060	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2;pindel;varscan2								0.0520833333333333	TRUE
RELN	ENSG00000189056.14	5	5	1	1	0	3119	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
RTN1	ENSG00000139970.17	5	5	1	1	0	731	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
SCN1A	ENSG00000144285.22	5	5	1	1	0	1971	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
SHANK2	ENSG00000162105.19	5	5	0	0	0	1748	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
STXBP5L	ENSG00000145087.13	5	5	0	0	0	912	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0520833333333333	TRUE
TNN	ENSG00000120332.16	5	5	1	1	0	1013	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
TNXB	ENSG00000168477.19	5	5	0	0	0	3743	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
TRIP11	ENSG00000100815.12	5	5	0	0	0	1296	Missense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
ZNF292	ENSG00000188994.13	5	5	0	0	0	2624	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0520833333333333	TRUE
ZNF496	ENSG00000162714.12	5	5	0	0	0	579	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
ZNF540	ENSG00000171817.17	5	5	0	0	0	623	Missense_Mutation	muse;mutect2;varscan2								0.0520833333333333	TRUE
ZNF831	ENSG00000124203.6	5	5	0	0	0	1651	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0520833333333333	TRUE
MGA	ENSG00000174197.16	8	4	1	1	0	2846	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;muse;varscan2;pindel;varscan2								0.0416666666666667	FALSE
AHNAK	ENSG00000124942.14	6	4	1	1	0	1505	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2	4	1	0.333333333333333	2	0.333333333333333	0.337992305936284	0.563320509893807	0.0416666666666667	FALSE
AKAP9	ENSG00000127914.18	6	4	2	1	0	2967	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
FCGBP	ENSG00000275395.6	5	4	1	1	0	3015	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
GABRB1	ENSG00000163288.14	5	4	1	1	0	403	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
GOLGA3	ENSG00000090615.15	5	4	0	0	0	1333	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0416666666666667	FALSE
ICE1	ENSG00000164151.12	5	4	1	1	0	1952	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
PTEN	ENSG00000171862.11	5	4	3	2	1	319	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;pindel;varscan2								0.0416666666666667	FALSE
SLC6A3	ENSG00000142319.18	5	4	0	0	0	547	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
ABCA10	ENSG00000154263.17	4	4	1	1	0	1121	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
ABCA13	ENSG00000179869.15	4	4	1	1	0	4937	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
ABCC9	ENSG00000069431.11	4	4	0	0	0	1213	Missense_Mutation;Splice_Region	muse;mutect2;varscan2								0.0416666666666667	FALSE
ACACA	ENSG00000278540.5	4	4	0	0	0	2302	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
ACACB	ENSG00000076555.15	4	4	1	1	0	2336	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0416666666666667	FALSE
ADGRB3	ENSG00000135298.14	4	4	0	0	0	1423	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
ATR	ENSG00000175054.16	4	4	2	2	0	2559	Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation	muse;mutect2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
BDP1	ENSG00000145734.19	4	4	0	0	0	2187	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.0416666666666667	FALSE
BOD1L1	ENSG00000038219.13	4	4	0	0	0	2751	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
BRCA2	ENSG00000139618.16	4	4	2	2	0	3063	Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
CACNA1C	ENSG00000151067.22	4	4	0	0	0	2197	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
CDH7	ENSG00000081138.14	4	4	0	0	0	453	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
CENPF	ENSG00000117724.13	4	4	1	1	0	1023	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
CFH	ENSG00000000971.16	4	4	2	2	0	1132	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
CLEC14A	ENSG00000176435.7	4	4	1	1	0	333	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
COL12A1	ENSG00000111799.21	4	4	1	1	0	2017	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
CREBBP	ENSG00000005339.15	4	4	1	1	1	2340	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
CRNKL1	ENSG00000101343.15	4	4	0	0	0	682	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
CSMD1	ENSG00000183117.19	4	4	1	1	0	3057	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
CTNNA2	ENSG00000066032.18	4	4	1	1	0	931	Frame_Shift_Del;Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse*;pindel								0.0416666666666667	FALSE
DGKK	ENSG00000274588.2	4	4	1	1	0	914	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
DLC1	ENSG00000164741.15	4	4	1	1	0	1379	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
DMD	ENSG00000198947.16	4	4	0	0	0	1685	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
DPP10	ENSG00000175497.17	4	4	1	1	0	777	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0416666666666667	FALSE
DSEL	ENSG00000171451.14	4	4	0	0	0	387	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
DYSF	ENSG00000135636.14	4	4	2	2	0	1954	Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
EEF2	ENSG00000167658.16	4	4	0	0	0	468	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
ESPL1	ENSG00000135476.12	4	4	2	2	0	563	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;pindel;varscan2								0.0416666666666667	FALSE
FAT4	ENSG00000196159.14	4	4	1	1	0	3569	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
FBN1	ENSG00000166147.14	4	4	0	0	0	2724	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
FBXO15	ENSG00000141665.13	4	4	2	2	0	500	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
FNDC1	ENSG00000164694.17	4	4	2	2	0	1875	Frame_Shift_Del;Missense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;mutect2;pindel;varscan2								0.0416666666666667	FALSE
GNAS	ENSG00000087460.27	4	4	0	0	2	301	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
GRAMD4	ENSG00000075240.17	4	4	3	3	0	531	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
GRM8	ENSG00000179603.18	4	4	1	1	0	662	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
HDAC9	ENSG00000048052.22	4	4	0	0	0	556	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
HECTD4	ENSG00000173064.13	4	4	0	0	0	4022	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
HERC1	ENSG00000103657.14	4	4	1	1	0	2585	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
HERC2	ENSG00000128731.18	4	4	0	0	0	3337	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.0416666666666667	FALSE
HIPK2	ENSG00000064393.16	4	4	0	0	0	194	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
IFI16	ENSG00000163565.19	4	4	1	1	0	764	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel								0.0416666666666667	FALSE
KANSL1	ENSG00000120071.15	4	4	2	2	0	1033	Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0416666666666667	FALSE
KDM6A	ENSG00000147050.16	4	4	2	2	1	1293	Frame_Shift_Del;Missense_Mutation;Splice_Site	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
KEAP1	ENSG00000079999.14	4	4	0	0	0	413	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
LAMA5	ENSG00000130702.15	4	4	0	0	0	3211	Missense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
LRBA	ENSG00000198589.14	4	4	1	1	0	2293	Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
LTBP1	ENSG00000049323.16	4	4	1	1	0	1356	Missense_Mutation;Splice_Site	muse;mutect2;varscan2								0.0416666666666667	FALSE
MAGEC1	ENSG00000155495.9	4	4	1	1	0	593	In_Frame_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;muse;varscan2;muse*;mutect2;pindel*;varscan2*								0.0416666666666667	FALSE
MAP2	ENSG00000078018.20	4	4	1	1	0	1767	Frame_Shift_Del;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel								0.0416666666666667	FALSE
MATN2	ENSG00000132561.14	4	4	0	0	0	727	Missense_Mutation	muse;mutect2;varscan2;muse;varscan2								0.0416666666666667	FALSE
MDC1	ENSG00000137337.15	4	4	0	0	0	1566	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
MED13	ENSG00000108510.10	4	4	1	1	0	1944	Frame_Shift_Ins;Missense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.0416666666666667	FALSE
MGAM	ENSG00000257335.8	4	4	0	0	0	1698	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.0416666666666667	FALSE
MPP5	ENSG00000072415.10	4	4	0	0	0	641	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2								0.0416666666666667	FALSE
MROH2B	ENSG00000171495.17	4	4	0	0	0	1447	Missense_Mutation	muse;mutect2;varscan2								0.0416666666666667	FALSE
